Address,FLAG,Avg min between sent tnx,Avg min between received tnx,Time Diff between first and last (Mins),Unique Received From Addresses,min value received,max value received ,avg val received,min val sent,avg val sent,total transactions (including tnx to create contract,total ether received,total ether balance
0x4807f0b5f136c7e4d932734ff43f54a4663e477,0,23.26,0,69.68,1,101,101,101,0.2,33.666149,4,101,0.001554
0x862aad75b2a20ca9539909dc451e31ab521d7611b,0,33.44,0,45.68,2,2.2048805,85.212547,50.5,0.007,33.666151,5,101,0.001548055
0x46a3e5a55e89715c377ec158ab1b25f2e5c22c63d,0,161.28,0.21,325.12,2,80.739914,50.6129593,50.5,2.11,50.499487,4,101,0.001026218
0x48b93a251ce2f52a9c778e026f13f988be4e3012,0,22.85,0,59.38,1,101,101,101,1,33.666149,4,101,0.001554
0x2b122abec4ee650880ef78ace81a4b8d40029c6e,0,107.7,0,44.8,1,101,101,101,17,33.666149,4,101,0.001554
0x91043168c7cb82a64a6d2aa77d44eb9054abfcd,0,58.88,0,61.52,1,101,101,101,0.217799,33.666149,4,101,0.001554
0x70f265e7f59c69c96f1e6e36256ccf1fc59060f,0,160.4,0,30.8,1,101,101,101,0.057726,50.499508,3,101,0.000984218
0x7afc57910cac150fcaf8aeb3329e8335190c61f14,0,160.97,1.02,63.8,2,12.230882,30.031411,50.5,0.004329,50.499508,4,101,0.000984218
0x0a3a198c1915156cfdcf7eca93ca9c25a18f8d5e57e6,0,1559.97,41019.15,46610.72,2,0.1,0.88,0.47843,0,0.054781,35,0.25043985,0.003654
0x1f654943b885e086eab2251ca93b03fc4a44cba1f,0,13.01,38887.08,147410.12,2,0.002101,0.208114,0.786356,1.001916,1.260788,23,4.531858,-5
0x9c2c3dd6099b8b9a46d941703d83570e3b6934d57,0,572.97,575.02,2369.77,7,0.197874,0.652596,0.275959,0.504284,1.178,59,0.425486144,0.01099914
0x0b7047b783a9160288b04538a674eb7c46d4eacfac,0,4761.14,987.18,149854.17,2,1,25,8,2.5,10.999005,7,74.021,0.34
0x20b6f9c312d3a8ec056c553800398336fa7b00341f,0,162.12,0.21,325.83,2,20.371849,82.193094,50.5,1.45,50.499286,4,101,0.001428506
0x2ca59d9227fd4baa468a4bd2925b8f55d000cfeb,0,162.8,0.33,324.97,2,20.460344,24.3096751,50.5,0.000664,50.499508,4,101,0.000984218
0x3a9f300a117a81651952ecca55aa72ec58bc239fb6,0,160.7,0.33,324.97,2,29.932,65.96073,50.5,4.315006,50.499508,4,101,0.000984218
0x3d3fa79a3d056b88ba167f17d2a529b6d71628abf,0,3.54,50531.16,877185.12,12,0.1,20.91108,1.442034813,0.0485,0.134395,48,0.91406711,0.0050171
